spec,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
ctx_all,out_anaemia_wra_fs_pct,feat_malaria_incidence_per1000,0.011067171439327308,0.004567434191565619,0.002102548411951219,0.020031794466703397,0.015595875162821127,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,feat_fertility_rate,-0.18019066653249285,0.9741041212339903,-2.0920904049899995,1.7317090719250137,0.8532876229391391,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,feat_urban_pct,-0.03384258201368577,0.08861743916690663,-0.20777435693663,0.14008919290925848,0.7026333823955047,931,46,2003-2023,0.10507564463594021
ctx_malaria,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03684562820925596,0.161093344768689,-0.35302673238266014,0.2793354759641482,0.8191390699475161,931,46,2003-2023,0.10290061831575481
ctx_malaria,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.4005388630585722,1.353319026078517,-1.255647241828545,4.056724967945689,0.30100964806510877,931,46,2003-2023,0.10290061831575481
ctx_malaria,out_anaemia_wra_fs_pct,feat_malaria_incidence_per1000,0.011131576419767104,0.004342930118729889,0.002607621303808502,0.019655531535725704,0.010541428685060694,931,46,2003-2023,0.10290061831575481
ctx_fertility,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.1309946191437081,0.19382589169710807,-0.5113857370358785,0.24939649874846234,0.4993139108445952,994,49,2003-2023,0.037771212165206736
ctx_fertility,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.2389887508637303,1.8323038168436487,-1.3569812772088694,5.83495877893633,0.2220377963953033,994,49,2003-2023,0.037771212165206736
ctx_fertility,out_anaemia_wra_fs_pct,feat_fertility_rate,1.0589843209194765,1.1147826944547639,-1.1288216096378418,3.246790251476795,0.3423881876674666,994,49,2003-2023,0.037771212165206736
ctx_urban,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.20645743301654876,0.20387920419975136,-0.606578581545575,0.19366371551247744,0.31149501015716585,994,49,2003-2023,0.03799506067411118
ctx_urban,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.797523657918315,1.5996026526478033,-1.3417609644624924,4.936808280299122,0.26141950589182006,994,49,2003-2023,0.03799506067411118
ctx_urban,out_anaemia_wra_fs_pct,feat_urban_pct,-0.10234205102383605,0.12206880924274463,-0.34190700491645654,0.1372229028687844,0.4020254032113795,994,49,2003-2023,0.03799506067411118
ctx_hiv,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.012074106512923479,0.1780540038276491,-0.36155590461321985,0.33740769158737294,0.9459517996961406,910,45,2003-2023,0.03912313730156014
ctx_hiv,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.19135486797948564,1.8116387899508233,-3.364503288589205,3.7472130245481763,0.9159048179330189,910,45,2003-2023,0.03912313730156014
ctx_hiv,out_anaemia_wra_fs_pct,feat_hiv_prev_pct,-0.442004136623893,0.28292101094295696,-0.9973173646286222,0.11330909138083628,0.11859587616871736,910,45,2003-2023,0.03912313730156014
