event,estimator,term,coef,se,ci_low,ci_high,p,n_obs,k
anaemia_policy,twfe_event,D_m4,0.6530709586060998,0.6624021392174043,-0.6945963266948759,2.0007382439070756,0.33134966451374903,775,-4.0
anaemia_policy,twfe_event,D_m3,0.2836703432563304,0.17812490201104114,-0.0787274947417973,0.6460681812544581,0.12079924717846735,775,-3.0
anaemia_policy,twfe_event,D_m2,0.17171920191577564,0.08549728592499993,-0.002226334189036755,0.34566473802058806,0.05283400507616598,775,-2.0
anaemia_policy,twfe_event,D_p0,-0.24773902139970763,0.11991708597079374,-0.491712167232835,-0.003765875566580257,0.04676019095784412,775,0.0
anaemia_policy,twfe_event,D_p1,-0.42638332415194474,0.1914268259487998,-0.81584412988695,-0.0369225184169395,0.03285560500527307,775,1.0
anaemia_policy,twfe_event,D_p2,-0.6933413646351262,0.3087174855916574,-1.321431811661449,-0.06525091760880342,0.03152725952742075,775,2.0
anaemia_policy,twfe_event,D_p3,-0.8967656147230073,0.3948117344566428,-1.7000161280875532,-0.0935151013584613,0.029773573631283856,775,3.0
anaemia_policy,twfe_event,D_p4,-1.067897427777427,0.46470925424614906,-2.0133555144074915,-0.12243934114736255,0.028037120809925486,775,4.0
anaemia_policy,twfe_event,D_p5,-1.1034476975844918,0.7451855562176452,-2.619539111147585,0.4126437159786016,0.14815358679028034,775,5.0
anaemia_policy,did2s_event,D_m4,0.04837589131390992,0.10419938248311625,-0.09729572669156014,0.3111658526422555,,775,-4.0
anaemia_policy,did2s_event,D_m3,0.04838796688638934,0.05003512192721303,-0.034250412861008196,0.16188726509366688,,775,-3.0
anaemia_policy,did2s_event,D_m2,0.008329654036184093,0.05027917634258062,-0.06709302680579737,0.13000134445711864,,775,-2.0
anaemia_policy,did2s_event,D_p0,-0.18145421041113635,0.1786442797342327,-0.5029919880761434,0.1972935884820487,,775,0.0
anaemia_policy,did2s_event,D_p1,-0.2663205218930079,0.22735268598187564,-0.705154532515529,0.1860679965334235,,775,1.0
anaemia_policy,did2s_event,D_p2,-0.5668314940301946,0.3531255557589984,-1.17767696943676,0.2065752091385138,,775,2.0
anaemia_policy,did2s_event,D_p3,-0.6997383928604985,0.46004764019867805,-1.4989696716506173,0.30441707792820055,,775,3.0
anaemia_policy,did2s_event,D_p4,-0.7465531493638828,0.5659936822168609,-1.7532322526998718,0.465462981590223,,775,4.0
anaemia_policy,did2s_event,D_p5,0.42387266089933096,1.3777217053906035,-2.3996567246053297,3.001012360525836,,775,5.0
anaemia_policy,lpdid_event,time_to_treatment::-4,0.10280412597709408,0.13555085847426254,-0.17485922059806175,0.38046747255224994,0.45453805737489494,222,-4.0
anaemia_policy,lpdid_event,time_to_treatment::-3,0.08754892841838381,0.08241264106088185,-0.08053276117832546,0.25563061801509307,0.2962946864433247,254,-3.0
anaemia_policy,lpdid_event,time_to_treatment::-2,0.05052413161282759,0.040611098474410294,-0.032197968984240426,0.1332462322098956,0.22250018036779484,287,-2.0
anaemia_policy,lpdid_event,time_to_treatment::0,-0.03428482767386416,0.044516055854944725,-0.12496106616413337,0.056391410816405044,0.44684924504310186,320,0.0
anaemia_policy,lpdid_event,time_to_treatment::1,-0.06052958276171321,0.0950043874150399,-0.25404718726240927,0.13298802173898286,0.5285762618749676,287,1.0
anaemia_policy,lpdid_event,time_to_treatment::2,-0.08619387054116204,0.14414598498411943,-0.3798096336812141,0.20742189259889002,0.5540738349329555,254,2.0
anaemia_policy,lpdid_event,time_to_treatment::3,-0.12541183032144362,0.21475317721080112,-0.5628497375961206,0.31202607695323326,0.5633272462624517,225,3.0
anaemia_policy,lpdid_event,time_to_treatment::4,-0.06684209608823878,0.2765857340962813,-0.6302288001943438,0.49654460801786626,0.8105789274793218,198,4.0
anaemia_policy,lpdid_event,time_to_treatment::5,0.01499552641901783,0.3340585959029653,-0.6654595662451965,0.6954506190832321,0.9644748134992487,173,5.0
wheat_mandate,twfe_event,D_m4,-0.016244272809691176,0.6539827098976791,-1.33116464021525,1.2986760945958675,0.9802863656889795,1135,-4.0
wheat_mandate,twfe_event,D_m3,-0.01584302680911118,0.18191450803982412,-0.38160665959009443,0.349920605971872,0.9309618777465039,1135,-3.0
wheat_mandate,twfe_event,D_m2,0.012595588078636229,0.09235976986899934,-0.17310617542614912,0.19829735158342157,0.8920950047144725,1135,-2.0
wheat_mandate,twfe_event,D_p0,-0.0657638398395576,0.11738814323512863,-0.3017885207610791,0.17026084108196393,0.5779310731516736,1135,0.0
wheat_mandate,twfe_event,D_p1,-0.0780532888505963,0.19641368726524888,-0.4729694753392418,0.31686289763804915,0.6928398798299831,1135,1.0
wheat_mandate,twfe_event,D_p2,-0.17408876591697298,0.2985180057093871,-0.7742994439729357,0.42612191213898976,0.5625044341827605,1135,2.0
wheat_mandate,twfe_event,D_p3,-0.01052510795645671,0.4409984363076174,-0.8972118920544885,0.8761616761415751,0.9810580058957594,1135,3.0
wheat_mandate,twfe_event,D_p4,-0.44020022642656714,0.5060890346474566,-1.4577604299412377,0.5773599770881033,0.3887343968115775,1135,4.0
wheat_mandate,twfe_event,D_p5,-1.3214170854595082,0.8540778798701165,-3.038655756444378,0.39582158552536173,0.12838699597925585,1135,5.0
wheat_mandate,did2s_event,D_m4,0.03934139080259971,0.09580604721869199,-0.1434221921646797,0.2321375129325929,,1135,-4.0
wheat_mandate,did2s_event,D_m3,-0.11520257365470699,0.18927280836321503,-0.5227724659019973,0.2191769428818056,,1135,-3.0
wheat_mandate,did2s_event,D_m2,-0.09206421949653448,0.2352580648499329,-0.5715849654363258,0.3506266487754112,,1135,-2.0
wheat_mandate,did2s_event,D_p0,-0.09304674604393154,0.387863361979936,-0.8729010145114153,0.6475233644499336,,1135,0.0
wheat_mandate,did2s_event,D_p1,-0.13666191800497918,0.4577863923106502,-1.0358525282033284,0.7586701296544205,,1135,1.0
wheat_mandate,did2s_event,D_p2,-0.26915551397744564,0.5488535420213542,-1.2996787513356987,0.8518271333880096,,1135,2.0
wheat_mandate,did2s_event,D_p3,-0.10046221009811349,0.6238357283972571,-1.307618949879237,1.1378171054380106,,1135,3.0
wheat_mandate,did2s_event,D_p4,-0.6227999898552293,0.6687770073414365,-1.9449182865516539,0.6766875822267772,,1135,4.0
wheat_mandate,did2s_event,D_p5,-1.621062581459708,1.0589017227740878,-3.7613879774114247,0.38950677586299975,,1135,5.0
wheat_mandate,lpdid_event,time_to_treatment::-4,-0.14440931721539133,0.22097345216081196,-0.5892058065479228,0.30038717211714006,0.5166783125161296,670,-4.0
