iso3,naive_flat,M0_year_effects,M1_income,M2_income_policy,M2t_income_team_composite,M3_income_all_exposures
AGO,2.649973259609234,1.2887598860520832,1.1557063466633037,1.2505088675021512,1.3254324892977951,1.4688628804273716
BDI,3.840251078337353,4.556149966026354,4.675641590101795,4.717089286364837,4.632387000703826,4.670088455917289
BEN,2.975279860690941,1.4582595640016387,1.4620324893379986,1.4325306933910078,1.3837438671208564,1.4540329855663496
BFA,3.3303183643854926,2.0521929815188105,2.170173021385021,2.032575284207806,1.95245045970761,1.9717783469435386
BWA,1.259107411590807,1.256869287374869,1.2539122923496895,1.0532558450184482,1.060451891146301,1.249720979335653
CAF,2.1249409755708193,0.794703327696213,0.6228435697741902,0.8336281668205757,0.9261146898839673,0.9700646538830999
CIV,1.364732329457231,0.32532138782808806,0.3399755992077408,0.33475170143024924,0.588867367264879,1.1653163090517802
CMR,1.9400890645100013,0.30998494301202534,0.25060626849020057,0.2336977672557457,0.29107794032067924,0.34334706124961983
COD,4.536583468774822,3.2213354893986104,3.3237831032389225,3.661467234906756,3.876997995953088,3.8052620734940263
COG,3.12478207856944,2.0653699767537086,1.8762209952853186,1.6927745479350162,1.6231197397618857,1.0857595139217742
COM,1.2257442553778648,1.2375567533109997,1.304932607735069,1.1514044402356238,1.0163012914341387,0.7809757533225181
CPV,2.6741985469446217,1.3972171570606102,1.4916631587806557,1.4562901819420089,1.4967462088499215,1.7401140125890413
DJI,1.296211899828187,0.8391004213791506,0.7006228989030273,0.7985244282479171,0.9235704425204321,0.9749407177310726
ERI,1.2507775359529143,0.33177797285882343,0.49913477137398066,0.4874485557748156,0.4771638923520307,0.48807615029475565
ETH,1.736065350870851,1.3363303433802127,1.039237018365545,1.1112850783739754,1.205096553163283,1.1489435548151425
GAB,1.331512361965907,0.5440302001355832,0.6406752186341133,0.6127821632913193,0.661623832436446,1.0790598402077778
GHA,3.7066833063787428,2.693494494949715,2.9582533450368453,2.8265273756557816,2.9691748717449196,2.8135032439660166
GIN,1.8351815050459142,0.5982441372931266,0.7521430993862576,0.8792959305422371,0.7715482526379851,0.7288162655626108
GMB,4.190616880755128,3.211486485541622,3.1453464625775527,3.3434434422513766,2.90757896604432,2.627300622895511
GNB,2.1557495763255203,0.7394012830527583,0.7481789155753785,0.8464955374332833,0.8872499172571924,0.832872251757965
GNQ,2.506680416809877,1.237552575908098,0.8328189835008566,0.9479109589582175,1.1585546762989842,1.159641892711903
KEN,1.5694937583808266,1.492121448529726,1.4221858490193753,1.4613367363075889,1.7159368199562366,1.6763587769775077
LBR,2.979232730821661,1.3508651012917108,1.350029787729967,1.405506559190502,1.4001164548000742,1.5190355224743808
LSO,2.98087631121562,3.1298838129550846,3.227855957049635,3.2595764425046534,3.081013679129116,3.233990345449295
MDG,1.4476973663024646,2.0339549834113297,2.2151891664791576,2.0477933095627936,1.9539635823476855,1.4812431196387306
MLI,2.2940127137977595,0.6827009137650741,0.6047823477285434,0.4849513410325637,0.6415980753518492,1.1736342687347217
MOZ,1.0247503982359838,0.7989961923702622,0.666902823983541,0.8532784023360263,0.8864588722963976,1.089539285419906
MRT,1.2282022331943478,0.5495152808172433,0.6298340869560027,0.6032900641538865,0.6851311500301748,1.054188595391679
MUS,4.5005416655605694,5.652779964724984,5.574982472195471,5.478564020437835,5.312791971266739,4.95734517817031
MWI,1.831025139429956,1.6744731061154416,1.6539755920637633,1.9156817293166182,1.9514799704795154,2.1420507982648864
NAM,1.7683665291465722,1.7372172501575125,1.8534450851948265,1.7313554898801047,1.951825017079847,1.646200260843388
NER,1.453122371257955,0.5799573369329281,0.533491179216582,0.6256156148345798,0.754763815656236,1.1411845384145896
NGA,3.6354078830566565,2.6271226680221185,2.5837706975444874,2.4386891209679553,2.3574701213190785,2.557106387597747
RWA,1.2770253132940048,0.5969728976720625,0.3817129660830067,0.6531035662246377,0.5051229580324919,0.2384424370844376
SDN,1.1762001156343003,0.5558590891849171,0.8872073206313534,1.294100968010637,1.233502098504999,1.4062039004598983
SEN,4.65702599911817,3.563804191749269,3.5930970480379387,3.542481813805911,3.5298508467766565,3.5404877439865348
SLE,2.769267689735856,1.3667292374450148,1.372846678036341,1.1793877988300343,0.9546162307975032,1.2250772116277664
SOM,1.318230794020476,2.2637518590126753,2.1024284899835366,1.9460013791668305,1.90355152662618,2.4941520123734553
SSD,0.38078865529319533,0.867845750061137,1.5594310518218366,1.6504049217049033,1.5609922436295602,1.2848593847181535
STP,2.714795273806997,1.3705717747139232,1.3860275652400464,1.5595800073217854,1.719995757754825,2.195635434617427
SWZ,1.3953274796656894,1.2833399255826923,1.225315147355809,1.2271244073820262,1.0694433223200182,1.1361036248856555
SYC,1.2074785857924735,1.9603087657279512,1.8546929883041452,1.61506213339555,1.3965941933514547,1.75532130325903
TCD,3.5143631427784645,2.3378170407055388,2.227154340248488,2.382615676611265,2.324557332972365,1.9213995748828079
TGO,2.003783269789986,0.7117843889545631,0.8320042174888911,0.9581537648437264,0.8662484877868354,0.9991174421884701
TZA,1.4287777628769318,0.4554545871751208,0.341581165589849,0.6483002239548041,1.1491438655646706,0.8939248362670614
UGA,1.9609567751286368,0.55897543533986,0.590026279369901,0.7412736576642843,0.7658026995050217,0.967031474173671
ZAF,1.5676722782144508,1.3849212064965362,1.4978994312631067,1.5542237554675387,1.651445815356522,1.2278236517150936
ZMB,2.043872541521705,0.5030806987062028,0.5667100802543169,0.5330441331244179,0.6423205791473248,0.6144160418503118
ZWE,2.0814154437384933,0.6141887201128888,0.757593040786467,0.9338524380973785,0.8843673269525949,1.0406095840977325
