model,rmse,mae,n,r2_dev
naive_flat,2.495370996460246,1.9644568710967105,994,0.0
M0_year_effects,1.9132133072728748,1.3531150310242808,994,0.41216351214834746
M1_income,1.9215965999430173,1.3500507803459756,994,0.40700067741871426
M2_income_policy,1.93439642714577,1.379799252041095,994,0.3990743848135341
M2t_income_team_composite,1.9190254439919983,1.3913094935754768,994,0.40858651878984864
M3_income_all_exposures,1.9303896560065987,1.4264524439382036,994,0.4015612357348466
