event,estimator,att,se,ci_low,ci_high,p,n_obs
anaemia_policy,twfe_static,-0.9389166577104092,0.5271736355167264,-2.011459483581171,0.13362616816035267,0.08411354287820783,775
anaemia_policy,did2s_static,0.09762866508760916,1.0863065242415764,-2.0420955199997155,2.08604447984952,0.9283888403074321,775
anaemia_policy,lpdid_att,-0.08012695135089634,0.19151101804315157,-0.47022212964298105,0.3099682269411883,0.6784542099223336,775
wheat_mandate,twfe_static,-0.5640092597801553,0.7652013606204168,-2.1025497120249197,0.9745311924646091,0.4646656726192524,1135
wheat_mandate,did2s_static,-1.0522195851853322,0.7915208622012841,-2.595239368622803,0.3925693967846649,0.18372780648328235,1135
wheat_mandate,lpdid_att,-0.17285444537363195,0.342648959449385,-0.8621752390853072,0.5164663483380434,0.6162915529627702,1135
