iso3,year,malaria_incidence_per1000,fertility_rate,urban_pct,employment_pop_pct,hiv_prev_pct,health_exp_pc_usd,sanitation_basic_pct,open_defecation_pct
AGO,2000,326.54,6.639,50.5070653484197,64.484,1.4,13.15998554,33.8004076625916,31.7063514307485
AGO,2001,330.8,6.601,51.7224790407329,64.451,1.4,29.26095772,34.2558546036306,31.2796029323129
AGO,2002,315.7,6.567,52.8926234794038,64.617,1.5,29.37077141,34.7112995930867,30.8528575537651
AGO,2003,319.29,6.533,54.0043545370761,64.59,1.5,35.2206955,35.7566857674784,30.6604684372213
AGO,2004,312.65,6.499,55.0445280863936,64.677,1.6,50.23310852,36.8026608112345,30.4355544935086
AGO,2005,313.87,6.461,56.0,64.679,1.6,54.66142273,37.8465318357126,30.1810112773105
AGO,2006,299.9,6.419,56.8939032662772,64.804,1.6,70.28185272,38.7338819151989,30.0635282716999
AGO,2007,269.53,6.372,57.7564632930133,64.842,1.7,93.42698669,39.6205689404056,29.9262778862818
AGO,2008,228.06,6.32,58.5851745819614,64.775,1.7,136.34094238,40.5073529931406,29.7685402890593
AGO,2009,193.51,6.26,59.3775316348744,64.6,1.7,120.5289917,41.3926874563562,29.5922296496081
AGO,2010,170.36,6.194,60.1310289535053,64.438,1.7,96.95197296,42.2777189153195,29.3961861141103
AGO,2011,157.06,6.12,60.8431610396073,64.35,1.8,122.11888123,43.1620627220945,29.1810246508511
AGO,2012,153.05,6.039,61.5114223949332,64.296,1.8,121.84848022,44.0453181222275,28.9474058924479
AGO,2013,158.1,5.953,62.1333075212361,64.119,1.8,142.78450012,44.9270819739207,28.6960640795283
AGO,2014,163.86,5.864,62.723115793241,63.952,1.8,130.5861969,45.8077399649675,28.4267180278409
AGO,2015,174.47,5.774,63.51567832685,63.638,1.8,107.52857208,46.6837650963553,28.1444628371784
AGO,2016,189.78,5.686,64.2992302517989,63.321,1.8,94.01481628,47.555908833618,27.848771939298
AGO,2017,215.31,5.6,65.0850525086068,63.045,1.8,112.75364685,48.4237656848917,27.5407271870453
AGO,2018,232.44,5.519,65.8732136723372,62.812,1.7,83.87555695,49.2865229934191,27.2220451127768
AGO,2019,243.1,5.442,66.6637823180533,62.644,1.7,64.4466095,49.5470237290202,26.8345097354645
AGO,2020,244.53,5.371,67.4568270208187,61.078,1.7,56.01641846,49.8016376564917,26.4557422062591
AGO,2021,258.61,5.304,68.2524163556969,64.306,1.7,66.94487,50.0511353702384,26.084576486195
AGO,2022,260.09,5.209,69.0506188977513,64.619,1.6,103.94506073,50.2951359158799,25.7215935286929
AGO,2023,255.47,5.124,69.8515032220457,64.369,1.6,76.07118225,,
AGO,2024,258.9,5.048,70.6551379036435,64.383,1.6,,,
AGO,2025,,,71.4615915176085,64.236,,,,
BDI,2000,427.48,6.872,8.04381449833197,80.062,3.4,5.67927122,45.8832028889367,2.55898619091524
BDI,2001,416.12,6.849,8.24107308668089,79.277,3.1,7.50815582,45.9762261657477,2.53680294867499
BDI,2002,388.13,6.819,8.45108277415092,78.474,2.8,6.46998882,46.0714530473161,2.51433338450844
BDI,2003,343.45,6.785,8.67614339385788,77.678,2.6,5.87316799,46.1690271798233,2.49157787052623
BDI,2004,295.97,6.746,8.9185547789176,76.826,2.4,8.88248062,46.0744530371063,2.46852797553744
BDI,2005,284.48,6.708,9.1806167624459,75.95,2.2,11.13118172,45.9780778470214,2.44517592093477
BDI,2006,287.78,6.659,9.4646291775586,74.981,2.0,14.10514736,45.8797490696037,2.42150213026509
BDI,2007,287.94,6.588,9.77289185737152,75.809,1.9,15.26294613,45.7793823625363,2.39750901141187
BDI,2008,288.77,6.515,10.1064353383035,76.607,1.8,14.67025566,45.6767816936833,2.3731635016677
BDI,2009,281.56,6.409,10.4979900434482,76.891,1.7,18.31996346,45.5719158266356,2.34849337188238
